 Function Sensitivity 
main -> Public
example_mayo -> Secret
mayo_keypair -> Secret
mayo_keypair_compact -> Secret
decode -> Secret
expand_P1_P2 -> Secret
compute_P3 -> Secret
pack_m_vecs -> Public
P1_times_O -> Secret
mul_add_mat_trans_x_m_mat -> Secret
m_vec_mul_add -> Secret
gf16v_mul_u64 -> Secret
mul_add_m_upper_triangular_mat_x_mat -> Secret
unpack_m_vecs -> Secret
mayo_expand_sk -> Secret
P1P1t_times_O -> Secret
mayo_sign_signature -> Secret
compute_M_and_VPV -> Secret
compute_rhs -> Secret
compute_A -> Secret
mat_mul -> Secret
mat_add -> Secret
encode -> Secret
add_f -> Secret
lincomb -> Secret
mul_f -> Secret
transpose_16x16_nibbles -> Secret
mul_add_mat_x_m_mat -> Secret
P1_times_Vt -> Secret
mul_add_m_upper_triangular_mat_x_mat_trans -> Secret
mayo_sign -> Secret
mayo_open -> Secret
mayo_verify -> Secret
mayo_expand_pk -> Public
eval_public_map -> Public
m_calculate_PS_SPS -> Public
mayo_generic_m_calculate_PS -> Public
mayo_generic_m_calculate_SPS -> Public
m_vec_add -> Public
m_vec_multiply_bins -> Public
m_vec_mul_add_x_inv -> Public
m_vec_mul_add_x -> Public
m_vec_copy -> Public
m_upper -> Public
m_vec_copy.17 -> Public
m_vec_add.18 -> Public
sample_solution -> Secret
mat_mul.21 -> Secret
sub_f -> Public
EF -> Secret
ct_compare_8 -> Secret
mul_fx8 -> Public
ef_pack_m_vec -> Secret
ct_compare_64 -> Public
ct_64_is_greater_than -> Public
m_extract_element -> Public
inverse_f -> Public
vec_mul_add_u64 -> Public
ef_unpack_m_vec -> Public
mul_table -> Public
mul_f.22 -> Secret
lincomb.23 -> Secret
add_f.24 -> Public

