Value store : 

% : false
%add.ptr26 : false
%m1 : false
% : false
%n : false
% : false
%o : false
% : false
%k : false
% : false
%n2 : false
% : false
%o3 : false
% : false
%m_bytes : false
% : false
%v_bytes : false
% : false
%r_bytes : false
% : false
%sig_bytes : false
% : false
%k4 : false
% : false
%o5 : false
% : false
%digest_bytes : false
% : false
%sk_seed_bytes : false
% : false
%salt_bytes : false
% : false
%arraydecay : false
% : false
%p7 : false
%arraydecay8 : false
% : false
%n9 : false
% : false
%o10 : false
% : false
%n12 : false
% : false
%o13 : false
% : false
%m_vec_limbs : false
% : false
% : false
%add.ptr90 : false
%arraydecay91 : false
%add.ptr : false
%arraydecay18 : false
% : false
%add.ptr19 : false
% : false
%arraydecay24 : false
% : false
%add.ptr25 : false
%O : false
%arraydecay117 : false
%arraydecay118 : false
% : false
% : false
%arraydecay28 : false
% : false
%arraydecay29 : false
% : false
% : false
% : false
%arraydecay33 : false
% : false
%add.ptr34 : false
%arraydecay35 : false
% : false
%arraydecay37 : false
% : false
%add.ptr38 : false
% : false
%add.ptr39 : false
% : false
%add.ptr40 : false
%arraydecay41 : false
% : false
%arraydecay42 : false
% : false
% : false
%arraydecay45 : false
%arraydecay46 : false
% : false
% : false
%arraydecay48 : false
% : false
% : false
% : false
%arraydecay51 : false
% : false
% : false
% : false
% : false
%arraydecay61 : false
% : false
%add.ptr63 : false
%arraydecay64 : false
%add.ptr66 : false
%arraydecay67 : false
% : false
% : false
%arraydecay68 : false
%arraydecay69 : false
%arraydecay70 : false
%arraydecay71 : false
%arraydecay72 : false
%arraydecay73 : false
%arraydecay74 : false
% : false
% : false
% : false
%arrayidx : false
%arraydecay88 : false
% : false
% : false
% : false
%arraydecay93 : false
%arraydecay94 : false
%arraydecay95 : false
%arraydecay96 : false
% : false
% : false
% : false
%arraydecay99 : false
%arraydecay101 : false
% : false
%arraydecay113 : false
% : false
% : false
%add.ptr116 : false
%add.ptr120 : false
%arraydecay121 : false
% : false
% : false
% : false
% : false
%arraydecay123 : false
%arraydecay124 : false
% : false
%add.ptr126 : false
% : false
% : false
%arraydecay128 : false
% : false
%add.ptr130 : false
% : false
% : false
%add.ptr132 : false
%arraydecay133 : false
% : false
%add.ptr135 : false
% : false
%arraydecay140 : false
% : false
% : false
% : false
%add.ptr142 : false
% : false
%add.ptr143 : false
%arraydecay144 : false
% : false
% : false
%arraydecay146 : false
%arraydecay147 : false
%arraydecay148 : false
%arraydecay149 : false
%O150 : false
%arraydecay151 : false
%arraydecay152 : false
%arraydecay153 : false
%arraydecay154 : false

Mem Ptr store : 

%L : false
%add.ptr26 : false
%Ox : (or SECRET_KEY false)
%ctrbyte : false
%vi : false
%param_m : false
%param_n : false
%param_o : false
%param_k : false
%param_m_bytes : false
%param_v_bytes : false
%param_r_bytes : false
%param_sig_bytes : false
%param_digest_bytes : false
%param_sk_seed_bytes : false
%param_salt_bytes : false
%P1 : false
%m1 : false
%n : false
%o : false
%k : false
%n2 : false
%o3 : false
%m_bytes : false
%v_bytes : false
%r_bytes : false
%sig_bytes : false
%k4 : false
%o5 : false
%digest_bytes : false
%sk_seed_bytes : false
%salt_bytes : false
%arraydecay : false
%p7 : SECRET_KEY
%arraydecay8 : SECRET_KEY
%n9 : false
%o10 : false
%n12 : false
%o13 : false
%m_vec_limbs : false
%add.ptr90 : false
%arraydecay91 : false
%add.ptr : false
%arraydecay18 : false
%add.ptr19 : false
%arraydecay24 : false
%add.ptr25 : false
%O : SECRET_KEY
%arraydecay117 : SECRET_KEY
%arraydecay118 : false
%arraydecay28 : false
%arraydecay29 : false
%arraydecay33 : false
%add.ptr34 : false
%arraydecay35 : false
%arraydecay37 : false
%add.ptr38 : false
%add.ptr39 : false
%add.ptr40 : false
%arraydecay41 : false
%arraydecay42 : false
%arraydecay45 : false
%arraydecay46 : false
%arraydecay48 : false
%arraydecay51 : false
%arraydecay61 : false
%add.ptr63 : false
%arraydecay64 : VINEGAR_MASK
%add.ptr66 : VINEGAR_MASK
%arraydecay67 : VINEGAR_MASK
%arraydecay68 : false
%arraydecay69 : false
%arraydecay70 : false
%arraydecay71 : false
%arraydecay72 : false
%arraydecay73 : false
%arraydecay74 : false
%arrayidx : false
%arraydecay88 : false
%arraydecay93 : false
%arraydecay94 : false
%arraydecay95 : false
%arraydecay96 : false
%arraydecay99 : false
%arraydecay101 : false
%arraydecay113 : VINEGAR_MASK
%add.ptr116 : VINEGAR_MASK
%add.ptr120 : false
%arraydecay121 : (or SECRET_KEY false)
%arraydecay123 : (or SECRET_KEY false)
%arraydecay124 : (or false SECRET_KEY false)
%add.ptr126 : (or false SECRET_KEY false)
%arraydecay128 : false
%add.ptr130 : false
%add.ptr132 : false
%arraydecay133 : false
%add.ptr135 : false
%arraydecay140 : false
%add.ptr142 : false
%add.ptr143 : false
%arraydecay144 : false
% : false
%arraydecay146 : false
%arraydecay147 : VINEGAR_MASK
%arraydecay148 : false
%arraydecay149 : false
%O150 : SECRET_KEY
%arraydecay151 : SECRET_KEY
%arraydecay152 : (or SECRET_KEY false)
%arraydecay153 : false
%arraydecay154 : false
